Grupo,Registro,Precio,Tienda,Lote,Vencimiento,Estado,Rojas,Azules,Verdes,Amarillas,Naranjas,Rosadas,Etapa,Neto,Postgrado
0,25-03-25,2.7,Jet Market,42760107A,29.07.25,Bueno,2,8,6,6,9,0,E-0,,No
0,25-03-25,2.7,Jet Market,43280107A,19.09.25,Malo,7,2,4,6,10,0,E-0,,No
9,31-03-25,2,Siscont,42790107A,01.08.25,malo,4,6,3,8,5,6,E-1,,No
8,31-03-25,2,Bodega Verde,43030107B,25.08.25,bueno,3,2,5,7,9,4,E-1,,No
9,31-03-25,2.1,Market Herrera,43030107B,25.08.25,bueno,4,5,3,7,11,2,E-1,,No
4,31-03-25,2.1,Market Herrera,43030107B,25.08.25,bueno,2,6,3,8,6,5,E-1,,No
9,31-03-25,2,Siscont,42790107A,01.08.25,bueno,2,3,6,6,10,4,E-1,,No
3,31-03-25,2.1,Jetmarket,42970107B,19.08.25,bueno,6,5,6,6,6,2,E-1,,No
3,31-03-25,2.9,Listo UTEC,50250107C,19.08.25,bueno,5,5,3,5,13,1,E-1,,No
1,31/03/2025,2.5,Tambo,43030107B,25.08.25,bueno,4,3,2,10,8,3,E-1,,No
2,31-03-25,1.5,Tienda local,42290107C,12.06.25,bueno,6,5,5,6,7,3,E-1,,No
2,31-03-25,2.7,Jet Market,43280107A,19.09.25,bueno,4,5,7,3,6,5,E-1,,No
7,31/03/25,2,Tienda local,43260107C,17.09.25,Bueno,7,2,6,5,9,3,E-1,,No
7,31/03/25,2.1,Market Herrera,43030107B,25.08.25,Bueno,2,2,5,8,9,5,E-1,,No
7,31/03/25,2,Tienda local,43260107C,17.09.25,Bueno,5,5,3,10,7,2,E-1,,No
5,31-03-25,2.1,Market herrera,43030107B,25.08.25,bueno,2,7,4,5,8,6,E-1,,No
8,31-03-2025,2,Bodega Amarilla,42710107C,24.07.25,bueno,6,2,5,2,6,7,E-1,,No
8,31-03-2025,2.1,Market Herrera,43030107B,25.08.25,bueno,1,3,2,9,12,3,E-1,,No
6,31-03-25,2.1,Jet market,43030107B,25.08.25,bueno,1,5,4,8,8,4,E-1,,No
4,31/03/25,1.8,Tienda local,50220107C,18.11.25,bueno,4,1,1,7,13,4,E-1,,No
4,31/03/25,1.8,Tienda local,50220107C,18/11/25,bueno,3,6,6,8,6,2,E-1,,No
0,31/03/25,2.7,Jet Market,43280107A,19.09.25,bueno,7,5,5,7,10,3,E-1,,No
6,31-03-25,2.9,Listo UTEC,50250107C,21.11.25,bueno,3,2,6,6,9,5,E-1,,No
6,31-03-25,2.9,Listo UTEC,50250107C,21.11.25,bueno,3,4,1,11,12,0,E-1,,No
5,25/08/25,2.1,Tambo,43030107B,25.08.25,Bueno,6,2,2,5,10,6,E-1,,No
9,23-04-25,2.1,Tambo,50580107A,24.12.25,Bueno,5,4,4,6,8,4,E-2,,No
9,23-04-25,2.1,Tambo,50580107A,24.12.25,Bueno,4,3,7,6,5,5,E-2,,No
8,25-04-25,2.0,Bodega Amarilla,42710107C,24.07.25,bueno,5,5,4,2,8,9,E-2,,No
8,25-04-25,2,Bodega Verde,50140107C,10.11.25,bueno,3,0,0,10,10,6,E-2,,No
2,25-04-25,2,Plaza Vea,50600107A,26.12.25,bueno,2,5,4,9,7,4,E-2,,No
2,25-04-25,2,Plaza Vea,50600107A,26.12.25,bueno,6,4,6,7,8,1,E-2,,No
4,28-04-25,1.8,Metro,50580107A,24.12.25,Bueno,3,4,7,8,6,3,E-4,,No
2,29-04-25,2.2,Bodega 57,50220107A,18.11.25,bueno,6,4,4,4,12,2,E-2,,No
2,29-04-25,2.2,Bodega 57,50220107A,18.11.25,bueno,4,5,3,11,7,3,E-2,,No
1,29-04-25,2.5,Tienda local,42990107C,21.08.25,bueno,3,5,5,8,2,8,E-2,,No
