Complejidad,Defectos
Media,3
Media,3
Media,5
Media,4
Media,4
Media,3
Alta,7
Media,3
Media,7
Alta,7
Media,2
Media,3
Alta,7
Alta,4
Alta,4
Media,5
Alta,8
Baja,0
Alta,7
Media,5
Media,3
Alta,6
Alta,4
Media,2
Baja,1
Alta,6
Media,4
Alta,6
Baja,1
Media,2
Alta,8
Media,5
Media,2
Media,9
Alta,9
Media,1
Alta,7
Baja,1
Media,7
Baja,1
Media,2
Alta,11
Media,5
Baja,0
Media,4
Alta,4
Media,9
Baja,0
Media,2
Baja,0
Media,4
Media,1
Alta,8
Alta,4
Baja,2
Media,4
Media,5
Media,5
Alta,7
Baja,0
Alta,3
Media,4
Alta,6
Alta,7
Baja,0
Alta,12
Alta,5
Alta,9
Alta,7
Alta,9
Baja,0
Media,4
Media,2
Alta,9
Media,8
Media,4
Alta,10
Baja,1
Alta,10
Baja,0
Alta,7
Baja,0
Alta,8
Media,5
Alta,9
Media,7
Media,3
Baja,0
Baja,0
Media,4
Media,5
Baja,0
Media,5
Media,3
Baja,0
Media,4
Baja,1
Media,1
Baja,0
Baja,1
Media,4
Alta,6
Baja,1
Alta,7
Baja,0
Alta,6
Media,9
Alta,4
Media,5
Baja,0
Alta,3
Media,5
Baja,0
Baja,0
Baja,1
Media,1
Media,4
Baja,0
Media,4
Baja,0
Media,3
Media,5
Baja,0
Media,2
Media,5
Media,4
Baja,0
Baja,0
Baja,1
Alta,5
Alta,5
Media,3
Media,1
Baja,0
Alta,9
Alta,7
Media,4
Media,9
Baja,0
Media,3
Baja,0
Baja,0
Media,4
Baja,0
Alta,3
Alta,7
Media,1
Alta,14
Alta,6
Alta,6
Baja,0
Alta,6
Alta,10
Alta,10
Media,4
Media,5
Baja,0
Alta,10
Media,6
Media,4
Alta,11
Alta,7
Alta,9
Alta,5
Media,3
Media,2
Alta,9
Baja,0
Alta,8
Media,1
Baja,1
Media,2
Media,1
Alta,8
Alta,8
Media,3
Alta,7
Baja,2
Baja,3
Alta,9
Baja,1
Media,5
Media,7
Alta,11
Alta,9
Alta,4
Baja,0
Media,2
Media,7
Baja,0
Alta,7
Media,3
Baja,1
Alta,7
