age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,y
30,unemployed,married,primary,no,6787,no,no,cellular,19,oct,79,1,0,no
33,services,married,secondary,no,9789,yes,yes,cellular,11,may,220,1,4,no
35,management,single,tertiary,no,6350,yes,no,cellular,16,apr,185,1,1,no
30,management,married,tertiary,no,6476,yes,yes,,3,jun,199,4,0,no
59,blue-collar,married,secondary,no,5000,yes,no,,5,may,226,1,0,no
35,management,single,tertiary,no,5747,no,no,cellular,23,feb,141,2,3,no
36,self-employed,married,tertiary,no,5307,yes,no,cellular,14,may,341,1,2,no
39,technician,married,secondary,no,5147,yes,no,cellular,6,may,151,2,0,no
41,entrepreneur,married,tertiary,no,5221,yes,no,,14,may,57,2,0,no
43,services,married,primary,no,4912,yes,yes,cellular,17,apr,313,1,2,no
39,services,married,secondary,no,14374,yes,no,,20,may,273,1,0,no
43,admin.,married,secondary,no,5264,yes,no,cellular,17,apr,113,2,0,no
36,technician,married,tertiary,no,6109,no,no,cellular,13,aug,328,2,0,no
20,student,single,secondary,no,5502,no,no,cellular,30,apr,261,1,0,yes
31,blue-collar,married,secondary,no,5360,yes,yes,cellular,29,jan,89,1,1,no
40,management,married,tertiary,no,5194,no,yes,cellular,29,aug,189,2,0,no
56,technician,married,secondary,no,9073,no,no,cellular,27,aug,239,5,0,no
37,admin.,single,tertiary,no,7317,yes,no,cellular,20,apr,114,1,2,no
25,blue-collar,single,primary,no,4779,yes,no,,23,may,250,1,0,no
31,services,married,secondary,no,5132,no,no,cellular,7,jul,148,1,1,no
38,management,divorced,,no,5000,yes,no,cellular,18,nov,96,2,0,no
42,management,divorced,tertiary,no,5016,no,no,cellular,19,nov,140,3,0,no
44,services,single,secondary,no,5106,no,no,,12,jun,109,2,0,no
44,entrepreneur,married,secondary,no,5093,no,no,cellular,7,jul,125,2,0,no
26,housemaid,married,tertiary,no,5543,no,no,cellular,30,jan,169,3,0,no
41,management,married,tertiary,no,10883,no,no,cellular,20,nov,182,2,0,no
55,blue-collar,married,primary,no,5627,yes,no,,5,may,247,1,0,no
67,retired,married,,no,5696,no,no,telephone,17,aug,119,1,2,no
56,self-employed,married,secondary,no,5784,no,yes,cellular,30,jul,149,2,0,no
53,admin.,married,secondary,no,5105,no,yes,cellular,21,aug,74,2,0,no
68,retired,divorced,secondary,no,9189,no,no,telephone,14,jul,897,2,0,yes
31,technician,married,secondary,no,5171,no,no,cellular,27,aug,81,3,0,no
59,management,married,secondary,no,5042,no,no,cellular,21,nov,40,1,0,no
32,management,single,tertiary,no,7536,yes,no,cellular,26,aug,958,6,0,yes
49,technician,married,tertiary,no,6235,no,no,cellular,13,aug,354,3,0,yes
