Pos,Juego,Mes,Año,HorasV,HorasT,Streamers,MaxEsp,MaxCan,PromEsp,PromCan
180,Tekken 7,Mayo,2016,"    106,733 horas",       502 horas,       15 streamers,"    6,037 espectadores",      4 canales,NA,     0 canales
172,Chess,Junio,2016,"    113,646 horas","     2,290 horas",      286 streamers,"    7,370 espectadores",     10 canales,    158 espectadores,     3 canales
165,Chess,Mayo,2016,"    124,066 horas","     2,426 horas",      311 streamers,"    5,147 espectadores",     11 canales,    166 espectadores,     3 canales
145,Chess,Agosto,2016,"    174,939 horas","     2,357 horas",      297 streamers,"   16,198 espectadores",     11 canales,NA,     3 canales
157,Chess,Marzo,2017,"    173,983 horas","     3,024 horas",      355 streamers,"    7,903 espectadores",     12 canales,    234 espectadores,     4 canales
148,Chess,Abril,2017,"    194,480 horas","     3,239 horas",      352 streamers,"    3,758 espectadores",     12 canales,    270 espectadores,     4 canales
199,Age of Empires II,Mayo,2016,"     93,519 horas","     3,204 horas",      250 streamers,      750 espectadores,     13 canales,    125 espectadores,     4 canales
159,Chess,Abril,2016,"    135,553 horas","     2,444 horas",      293 streamers,"    3,979 espectadores",     14 canales,    188 espectadores,     3 canales
178,Age of Empires II,Junio,2016,"    107,624 horas","     2,896 horas",      236 streamers,NA,     14 canales,    149 espectadores,     4 canales
192,Age of Empires II,Agosto,2016,"    117,560 horas","     3,446 horas",      224 streamers,"    1,284 espectadores",     14 canales,    158 espectadores,     4 canales
140,Chess,Octubre,2016,"    204,183 horas","     2,879 horas",      320 streamers,"   29,856 espectadores",     14 canales,    274 espectadores,     3 canales
82,Chess,Septiembre,2017,"    545,085 horas","     4,030 horas",      443 streamers,"   12,180 espectadores",     14 canales,    758 espectadores,     5 canales
133,Age of Empires II,Septiembre,2016,"    158,921 horas","     3,356 horas",      237 streamers,"    4,629 espectadores",     15 canales,    221 espectadores,     4 canales
180,Chess,Agosto,2017,"    182,656 horas","     3,399 horas",      459 streamers,"    8,336 espectadores",     15 canales,    245 espectadores,     4 canales
119,Chess,Octubre,2017,"    327,335 horas","     4,202 horas",      466 streamers,"   17,787 espectadores",     15 canales,    440 espectadores,     5 canales
116,Age of Empires II,Diciembre,2016,"    331,306 horas","     4,653 horas",      109 streamers,NA,     16 canales,    445 espectadores,     6 canales
159,Chess,Diciembre,2016,"    180,214 horas","     3,674 horas",      149 streamers,"   21,238 espectadores",     16 canales,    242 espectadores,NA
144,Age of Empires II,Enero,2017,"    310,965 horas","     5,299 horas",      344 streamers,NA,     16 canales,NA,     7 canales
200,Chess,Febrero,2017,"    145,127 horas","     3,000 horas",      413 streamers,NA,     16 canales,    216 espectadores,NA
163,Age of Empires II,Octubre,2016,"    166,279 horas","     3,883 horas",      274 streamers,"    2,369 espectadores",     17 canales,NA,NA
49,Chess,Noviembre,2016,"    962,121 horas","     3,453 horas",      395 streamers,"   48,490 espectadores",     17 canales,"  1,338 espectadores",NA
161,Chess,Mayo,2017,"    182,305 horas","     3,670 horas",      429 streamers,"    8,504 espectadores",     17 canales,    245 espectadores,     4 canales
132,Age of Empires II,Noviembre,2016,"    201,024 horas","     4,477 horas",      254 streamers,"    2,414 espectadores",     18 canales,    279 espectadores,     6 canales
116,Age of Empires II,Febrero,2017,"    287,503 horas","     4,869 horas",      283 streamers,"    4,210 espectadores",     18 canales,    428 espectadores,     7 canales
127,Age of Empires II,Abril,2017,"    258,412 horas","     5,689 horas",      302 streamers,"    4,203 espectadores",     20 canales,    359 espectadores,     7 canales
132,Age of Empires II,Agosto,2017,"    311,900 horas","     6,330 horas",      399 streamers,"    3,502 espectadores",     20 canales,NA,     8 canales
97,Age of Empires II,Noviembre,2017,"    518,228 horas","     6,427 horas",      470 streamers,"    5,401 espectadores",     20 canales,    720 espectadores,     8 canales
126,Age of Empires II,Mayo,2017,"    270,873 horas","     5,670 horas",      358 streamers,"    1,864 espectadores",     21 canales,    364 espectadores,     7 canales
117,Age of Empires II,Junio,2017,"    299,260 horas","     5,948 horas",      398 streamers,"    2,124 espectadores",     21 canales,    416 espectadores,     8 canales
141,Age of Empires II,Julio,2017,"    321,483 horas","     7,273 horas",      433 streamers,"    5,272 espectadores",     21 canales,    432 espectadores,NA
77,Chess,Noviembre,2017,"    708,315 horas","     5,022 horas",      542 streamers,"   20,254 espectadores",     21 canales,    985 espectadores,     6 canales
105,Age of Empires II,Septiembre,2017,"    403,765 horas","     6,786 horas",      402 streamers,"    4,543 espectadores",     22 canales,    561 espectadores,     9 canales
94,Age of Empires II,Octubre,2017,"    507,367 horas","     6,845 horas",      413 streamers,NA,     22 canales,    682 espectadores,     9 canales
162,Star Citizen,Abril,2016,"    133,619 horas","     6,413 horas",      858 streamers,"    1,848 espectadores",     23 canales,    185 espectadores,     8 canales
105,Chess,Diciembre,2017,"    478,728 horas","     6,468 horas",      639 streamers,"   25,457 espectadores",     23 canales,    644 espectadores,     8 canales
88,Age of Empires II,Diciembre,2017,"    662,113 horas","     7,668 horas",      536 streamers,"    6,615 espectadores",     24 canales,    891 espectadores,    10 canales
166,Star Citizen,Junio,2016,"    123,411 horas","     5,701 horas",      777 streamers,NA,     25 canales,NA,     7 canales
185,Star Citizen,Mayo,2017,"    150,538 horas","     7,287 horas",      917 streamers,"    3,973 espectadores",     25 canales,    202 espectadores,     9 canales
137,Dofus,Diciembre,2016,"    242,094 horas","     6,105 horas",      234 streamers,"    8,764 espectadores",     27 canales,    325 espectadores,     8 canales
191,Star Citizen,Abril,2017,"    130,331 horas","     7,282 horas",      782 streamers,"    1,776 espectadores",     28 canales,    181 espectadores,    10 canales
168,Star Citizen,Mayo,2016,"    120,828 horas","     6,130 horas",      789 streamers,"    2,011 espectadores",     29 canales,NA,NA
146,Dofus,Noviembre,2016,"    159,518 horas","     7,408 horas",      699 streamers,"    2,127 espectadores",     29 canales,    221 espectadores,NA
163,Dofus,Abril,2017,"    163,250 horas","     6,276 horas",      574 streamers,"    7,916 espectadores",     30 canales,NA,     8 canales
181,Dofus,Mayo,2017,"    152,876 horas","     6,976 horas",      729 streamers,NA,     30 canales,    205 espectadores,     9 canales
133,Dofus,Mayo,2016,"    157,489 horas","     7,916 horas",      805 streamers,"    2,448 espectadores",     32 canales,    211 espectadores,    10 canales
198,Dofus,Julio,2016,"    161,162 horas","     7,111 horas",      744 streamers,NA,     32 canales,NA,     9 canales
89,Summoners War: Sky Arena,Julio,2016,"    360,583 horas","     9,247 horas",      703 streamers,"    8,944 espectadores",     33 canales,    485 espectadores,NA
90,Summoners War: Sky Arena,Agosto,2016,"    328,950 horas","     9,529 horas",      578 streamers,NA,     33 canales,    442 espectadores,    12 canales
154,Star Citizen,Febrero,2016,"    146,562 horas","     8,313 horas","    1,259 streamers","    2,054 espectadores",     34 canales,    210 espectadores,NA
173,Dofus,Enero,2017,"    253,984 horas","     7,958 horas",      868 streamers,NA,     34 canales,    341 espectadores,    10 canales
155,Dofus,Septiembre,2017,"    224,248 horas","     7,582 horas",      729 streamers,"    5,523 espectadores",     34 canales,    311 espectadores,    10 canales
147,Dofus,Junio,2016,"    141,405 horas","     7,413 horas",      752 streamers,"    3,105 espectadores",     35 canales,    196 espectadores,    10 canales
139,Star Citizen,Enero,2016,"    255,504 horas","    10,738 horas","    1,611 streamers","    9,863 espectadores",     36 canales,NA,    14 canales
164,Dofus,Marzo,2016,"    141,165 horas","     7,951 horas",      759 streamers,"    2,876 espectadores",     36 canales,    189 espectadores,    10 canales
72,The Legend of Zelda: Ocarina of Time,Agosto,2016,"    427,970 horas","     9,496 horas",      961 streamers,"    3,186 espectadores",     36 canales,    576 espectadores,NA
118,Summoners War: Sky Arena,Enero,2016,"    290,863 horas","    12,865 horas",      710 streamers,"    1,612 espectadores",     37 canales,NA,    17 canales
119,Dofus,Enero,2016,"    287,689 horas","     8,985 horas",      859 streamers,NA,     37 canales,    387 espectadores,    12 canales
125,Star Citizen,Noviembre,2016,"    228,140 horas","     6,476 horas",      758 streamers,"   21,687 espectadores",     37 canales,    317 espectadores,     9 canales
93,The Legend of Zelda: Ocarina of Time,Marzo,2017,"    370,786 horas","    10,348 horas","    1,146 streamers","    8,484 espectadores",     37 canales,    499 espectadores,    13 canales
79,The Legend of Zelda: Ocarina of Time,Mayo,2017,"    619,544 horas","     9,390 horas",      946 streamers,"    6,563 espectadores",     37 canales,    833 espectadores,    12 canales
105,Age of Empires II,Junio,2018,"    628,752 horas","    11,987 horas","    1,627 streamers",NA,     37 canales,    874 espectadores,    16 canales
84,Summoners War: Sky Arena,Marzo,2016,"    359,904 horas","    12,474 horas",      737 streamers,"    5,854 espectadores",     38 canales,    484 espectadores,    16 canales
189,Dofus,Octubre,2018,"    237,542 horas","     9,982 horas",      921 streamers,NA,     38 canales,    319 espectadores,    13 canales
33,Super Smash Bros. Melee,Julio,2016,"  1,766,178 horas","     9,993 horas","    1,845 streamers","  223,070 espectadores",     39 canales,"  2,377 espectadores",    13 canales
196,Star Citizen,Enero,2017,"    223,955 horas","     9,140 horas","    1,197 streamers","    3,925 espectadores",     39 canales,    301 espectadores,NA
81,Age of Empires II,Septiembre,2018,"    757,110 horas","    13,125 horas","    1,483 streamers","    7,258 espectadores",     39 canales,NA,    18 canales
169,Dofus,Septiembre,2018,"    289,641 horas","     9,801 horas",      972 streamers,"    5,356 espectadores",     39 canales,    402 espectadores,    13 canales
108,Age of Empires II,Octubre,2018,"    640,962 horas","    12,396 horas","    1,496 streamers","   11,353 espectadores",     39 canales,    862 espectadores,    16 canales
