Pos,Juego,Mes,Año,HorasV,HorasT,Streamers,MaxEsp,MaxCan,PromEsp,PromCan
143,Games + Demos,Mayo,2016,"    145,085 horas","     3,108 horas",      748 streamers,"   14,458 espectadores",     14 canales,    195 espectadores,     4 canales
159,Games + Demos,Julio,2016,"    208,033 horas","     3,840 horas",      954 streamers,"   13,741 espectadores",     15 canales,    279 espectadores,     5 canales
134,Games + Demos,Febrero,2016,"    173,473 horas","     2,571 horas",      619 streamers,"   12,097 espectadores",     16 canales,    249 espectadores,     3 canales
83,Games + Demos,Marzo,2016,"    366,311 horas","     3,784 horas",      718 streamers,NA,     16 canales,NA,     5 canales
141,RimWorld,Junio,2016,"    147,095 horas","     3,701 horas",      412 streamers,NA,     18 canales,    204 espectadores,     5 canales
80,Games + Demos,Abril,2016,"    407,778 horas","     4,117 horas",      838 streamers,"   19,213 espectadores",     19 canales,    567 espectadores,NA
80,Games + Demos,Junio,2016,"    355,151 horas","     3,218 horas",      800 streamers,NA,     21 canales,    493 espectadores,     4 canales
120,Games + Demos,Septiembre,2016,"    189,685 horas","     5,677 horas","    1,514 streamers","   10,701 espectadores",     22 canales,    263 espectadores,     7 canales
56,Games + Demos,Octubre,2016,"    706,628 horas","     5,577 horas","    1,547 streamers","   31,676 espectadores",     22 canales,    951 espectadores,NA
120,Games + Demos,Agosto,2016,"    242,103 horas","     4,924 horas","    1,410 streamers","   12,724 espectadores",     23 canales,    325 espectadores,     6 canales
115,Games + Demos,Diciembre,2016,"    338,670 horas","     6,376 horas",      292 streamers,NA,     23 canales,    455 espectadores,     8 canales
94,RimWorld,Mayo,2016,"    269,466 horas","     6,834 horas",      648 streamers,"    8,795 espectadores",     26 canales,    362 espectadores,NA
167,The Sims 4,Mayo,2016,"    122,136 horas","     7,605 horas","    1,447 streamers","   14,208 espectadores",     26 canales,    164 espectadores,    10 canales
123,Games + Demos,Noviembre,2016,"    229,651 horas","     5,190 horas","    1,321 streamers","   11,821 espectadores",     26 canales,    319 espectadores,     7 canales
113,Games + Demos,Febrero,2017,"    289,570 horas","     7,115 horas","    1,640 streamers","   10,664 espectadores",     26 canales,    431 espectadores,    10 canales
110,Games + Demos,Mayo,2017,"    367,008 horas","     9,322 horas","    1,827 streamers","   15,804 espectadores",     27 canales,    493 espectadores,    12 canales
178,The Sims 4,Marzo,2016,"    115,845 horas","     8,753 horas","    1,599 streamers","    2,785 espectadores",     28 canales,NA,    11 canales
96,Games + Demos,Enero,2017,"    530,507 horas","     7,695 horas","    1,845 streamers","   11,116 espectadores",     28 canales,    714 espectadores,    10 canales
99,Games + Demos,Abril,2017,"    362,430 horas","     8,437 horas","    1,391 streamers","    9,756 espectadores",     28 canales,    504 espectadores,    11 canales
68,Super Mario 64,Mayo,2016,"    409,233 horas","     8,940 horas","    1,081 streamers","    8,400 espectadores",     29 canales,    550 espectadores,NA
86,Super Mario 64,Septiembre,2016,"    296,336 horas","     8,180 horas","    1,064 streamers","    6,093 espectadores",     29 canales,NA,    11 canales
98,Games + Demos,Marzo,2017,"    336,451 horas","     7,518 horas","    1,399 streamers","   11,700 espectadores",     30 canales,    452 espectadores,    10 canales
54,Super Mario 64,Enero,2016,"    828,873 horas","     9,001 horas","    1,129 streamers","  174,067 espectadores",     31 canales,"  1,115 espectadores",    12 canales
170,Retro,Marzo,2016,"    129,038 horas","    10,586 horas",      788 streamers,      980 espectadores,     31 canales,    173 espectadores,    14 canales
102,Retro,Abril,2016,"    260,436 horas","    10,704 horas",      825 streamers,"    1,187 espectadores",     31 canales,    362 espectadores,NA
132,MapleStory,Mayo,2016,"    159,259 horas","    10,645 horas","    1,015 streamers",      774 espectadores,     31 canales,    214 espectadores,    14 canales
80,Super Mario 64,Agosto,2016,"    377,517 horas","     9,921 horas","    1,130 streamers","   17,064 espectadores",     31 canales,    508 espectadores,    13 canales
154,Clash Royale,Febrero,2019,"    370,506 horas","     7,825 horas","    1,510 streamers",NA,     31 canales,    552 espectadores,    11 canales
191,The Sims 4,Abril,2016,"    111,086 horas","     8,076 horas","    1,387 streamers","    4,889 espectadores",     33 canales,    154 espectadores,    11 canales
189,The Sims 4,Octubre,2016,"    132,850 horas","     9,435 horas","    1,893 streamers","    2,228 espectadores",     33 canales,NA,    12 canales
115,Super Mario 64,Enero,2017,"    418,177 horas","    10,411 horas","    1,201 streamers","    8,101 espectadores",     33 canales,    562 espectadores,    14 canales
100,MapleStory,Febrero,2016,"    272,771 horas","    12,398 horas","    1,127 streamers","    2,638 espectadores",     34 canales,    392 espectadores,    17 canales
94,Super Mario 64,Marzo,2016,"    304,984 horas","     7,970 horas","    1,023 streamers","    7,582 espectadores",     34 canales,    410 espectadores,    10 canales
143,The Sims 4,Julio,2016,"    236,544 horas","     9,360 horas","    1,745 streamers","    5,479 espectadores",     34 canales,    318 espectadores,    12 canales
88,Super Mario 64,Diciembre,2016,"    492,553 horas","    10,515 horas",      336 streamers,"    7,411 espectadores",     34 canales,    662 espectadores,NA
104,Clash Royale,Septiembre,2019,"    592,699 horas","     9,622 horas","    1,726 streamers","   14,667 espectadores",     34 canales,    824 espectadores,    13 canales
117,The Sims 4,Enero,2016,"    291,710 horas","     9,610 horas","    1,874 streamers","   27,359 espectadores",     35 canales,    392 espectadores,    12 canales
125,Clash Royale,Mayo,2019,"    563,368 horas","    11,491 horas","    2,084 streamers",NA,     35 canales,    758 espectadores,    15 canales
123,Clash Royale,Octubre,2019,"    548,941 horas","     9,967 horas","    1,649 streamers",NA,     35 canales,    738 espectadores,NA
120,MapleStory,Marzo,2016,"    208,359 horas","    12,685 horas","    1,071 streamers","    1,953 espectadores",     36 canales,    280 espectadores,    17 canales
110,MapleStory,Abril,2016,"    228,242 horas","    12,973 horas","    1,019 streamers",NA,     36 canales,    317 espectadores,    18 canales
76,Retro,Mayo,2016,"    363,612 horas","    13,007 horas",      979 streamers,"    5,243 espectadores",     36 canales,    489 espectadores,    17 canales
102,RimWorld,Octubre,2016,"    283,416 horas","    11,435 horas","    1,189 streamers","    4,832 espectadores",     36 canales,    381 espectadores,    15 canales
103,Super Mario 64,Noviembre,2016,"    342,122 horas","     9,152 horas","    1,047 streamers","    7,933 espectadores",     36 canales,    475 espectadores,    12 canales
82,Games + Demos,Octubre,2017,"    626,646 horas","    12,764 horas","    2,350 streamers","   69,316 espectadores",     36 canales,    843 espectadores,    17 canales
57,RimWorld,Abril,2016,"    661,664 horas","     9,387 horas",      888 streamers,"   15,443 espectadores",     37 canales,    920 espectadores,    13 canales
85,Super Mario 64,Abril,2016,"    324,963 horas","     7,839 horas",      963 streamers,"    8,432 espectadores",     37 canales,    451 espectadores,    10 canales
91,Tibia,Abril,2016,"    315,786 horas","    12,401 horas",      951 streamers,"    1,889 espectadores",     37 canales,    439 espectadores,NA
137,MapleStory,Junio,2016,"    153,668 horas","    11,505 horas","    1,173 streamers",NA,     37 canales,    213 espectadores,    16 canales
127,The Sims 4,Agosto,2016,"    217,572 horas","     9,694 horas","    1,702 streamers","    6,666 espectadores",     37 canales,    292 espectadores,    13 canales
103,Super Mario 64,Octubre,2016,"    279,790 horas","     9,974 horas","    1,204 streamers",NA,     37 canales,    376 espectadores,    13 canales
92,Super Mario 64,Abril,2017,"    403,716 horas","    11,066 horas","    1,103 streamers",NA,     37 canales,NA,    15 canales
104,RimWorld,Abril,2017,"    335,673 horas","    13,758 horas","    1,315 streamers","    4,343 espectadores",     37 canales,    466 espectadores,    19 canales
78,Games + Demos,Julio,2017,"    703,927 horas","    14,588 horas","    2,442 streamers","   16,241 espectadores",     37 canales,    947 espectadores,    19 canales
137,Clash Royale,Marzo,2019,"    475,417 horas","     9,884 horas","    1,693 streamers","    6,934 espectadores",     37 canales,    639 espectadores,    13 canales
122,MapleStory,Septiembre,2016,"    185,974 horas","    12,464 horas","    1,066 streamers","    1,186 espectadores",     38 canales,    258 espectadores,NA
83,The Sims 4,Febrero,2016,"    374,856 horas","     9,663 horas","    1,744 streamers","   12,456 espectadores",     39 canales,    539 espectadores,    13 canales
77,Tibia,Junio,2016,"    359,647 horas","    13,578 horas",      996 streamers,"    2,331 espectadores",     39 canales,    500 espectadores,    18 canales
98,Tibia,Agosto,2016,"    308,240 horas","    13,638 horas","    1,040 streamers","    5,612 espectadores",     39 canales,NA,    18 canales
31,Magic: The Gathering,Septiembre,2016,"  1,466,259 horas","    11,265 horas",      874 streamers,NA,     39 canales,"  2,039 espectadores",    15 canales
150,The Sims 4,Septiembre,2016,"    139,745 horas","     9,053 horas","    1,925 streamers","    5,426 espectadores",     39 canales,    194 espectadores,    12 canales
72,Games + Demos,Junio,2017,"    673,859 horas","    15,634 horas","    2,237 streamers","   24,897 espectadores",     39 canales,    937 espectadores,    21 canales
104,Super Mario 64,Noviembre,2017,"    467,622 horas","    11,232 horas","    1,448 streamers","    9,261 espectadores",     39 canales,    650 espectadores,    15 canales
