Cod,Nombre,Calidad,Precio,Peso,L,A,E
0100414.0442000866,Machiche,Estándar,29.99,84.5,3Z3,157,2
0090415.0826001250,Katalox,Buena,89.99,152,NA,116,5
0120416.1336001764,Marupa,Excelente,239.99,99.5,193,181,5
0150417.1551001983,Parota,Premium,299.99,223.5,340,192,5
0140418.1766002198,Okumé,Premium,89.99,58.5,171,NA,4
0130419.0332000764,Nogal Americano,Estándar,69.99,78,248,175,3
0050420.0401000826,Cumarú,Estándar,19.99,44.5,256,NA,2
0240421.0300000745,Greenheart,Básica,79.99,108.5,317,183,2
0150422.1964002401,Parota,Premium,419.99,120,270,130,5
0130423.0656001092,Nogal Americano,Buena,109.99,116,192,177,5
0110424.0894001329,Maple,Buena,59.99,80.5,240,112,5
0160425.1107001548,Pucté,Excelente,129.99,192,241,184,6
0240426.0380000830,Greenheart,Estándar,89.99,126,353,182,Z
0260427.0474000927,Satinwood,Estándar,1179.99,308,NA,185,3
0050428.0999001432,Cumarú,Buena,129.99,83.5,152,101,H
0030429.0628001060,Cachimbo,Buena,89.99,140.5,323,1C4,NA
0120430.1704002146,Marupa,Premium,189.99,127,169,13C,8
0170431.0531000979,Quinilla,Buena,69.99,136.5,186,133,B
0070432.0605001044,Haya,Buena,69.99,140.5,24O,lO7,8
0080433.0385000826,Huayruru,Estándar,49.99,114.5,492,171,2
0140434.1998002446,Okumé,Premium,329.99,81,188,103,7
0070435.0980001422,Haya,Buena,89.99,163.5,178,182,7
0230436.0657001116,Macassar Ebony,Buena,949.99,195.5,193,l5l,6
0140437.1594002045,Okumé,Premium,199.99,156,184,177,7
0270438.0259000724,Rosewood East Indian,Básica,659.99,157,541,194,Z
0100439.0374000823,Machiche,Estándar,29.99,111,496,1S4,2
0100440.0994001444,Machiche,Buena,269.99,186,264,195,5
0180441.0762001221,Tornillo,Buena,119.99,232.5,3Zl,132,7
0110442.1105001558,Maple,Excelente,69.99,79.5,1BO,129,5
0170443.0517000977,Quinilla,Buena,79.99,151,225,197,5
0230444.0972001439,Macassar Ebony,Buena,1209.99,253,214,124,8
0230445.0262000730,Macassar Ebony,Básica,379.99,120,212,180,3
0030446.1392001841,Cachimbo,Excelente,289.99,139.5,228,130,7
0050447.0510000962,Cumarú,Buena,139.99,238,292,170,7
0140448.1766002228,Okumé,Premium,269.99,168,200,176,7
0080449.0374000831,Huayruru,Estándar,49.99,113,459,127,3
0140450.1496001960,Okumé,Excelente,49.99,80.5,184,101,6
0010451.0708001160,Caoba,Buena,59.99,147.5,304,142,6
0070452.1212001671,Haya,Excelente,219.99,108,246,160,4
0030453.0783001239,Cachimbo,Buena,49.99,95.5,162,144,6
0020454.1959002415,Cedro Cedrela,Premium,309.99,170.5,304,134,7
0060455.0440000901,Estoraque,Estándar,49.99,121,551,152,NA
0030456.0757001216,Cachimbo,Buena,79.99,131,268,123,6
0100457.0447000914,Machiche,Estándar,49.99,117.5,444,129,NA
0070458.1194001659,Haya,Excelente,199.99,97.5,Z34,1O2,6
0270459.0727001213,Rosewood East Indian,Buena,769.99,149.5,16O,153,7
0080460.0505000973,Huayruru,Buena,149.99,229.5,280,142,B
0050461.0482000948,Cumarú,Estándar,69.99,177,401,197,3
0260462.0381000869,Satinwood,Estándar,749.99,190,515,105,4
0120463.1326001801,Marupa,Excelente,119.99,231.5,259,164,8
0260464.0641001131,Satinwood,Buena,1129.99,201,239,149,6
0200465.0986001471,Rosa Morada,Buena,99.99,183.5,NA,100,8
0130466.0472000951,Nogal Americano,Estándar,79.99,64,470,NA,R
0230467.0602001092,Macassar Ebony,Buena,989.99,198,160,163,7
0220468.0558001048,Guayacán,Buena,909.99,170,175,152,NA
0070469.0444000920,Haya,Estándar,89.99,180,P31,189,3
0140470.2000002484,Okumé,Premium,649.99,195,230,168,NA
0100471.0531001012,Machiche,Buena,89.99,181.5,251,1S1,6
0160472.1085001573,Pucté,Excelente,119.99,136.5,217,131,7
0240473.0289000786,Greenheart,Básica,109.99,175.5,45O,140,3
0240474.0432000930,Greenheart,Estándar,129.99,143,43l,115,3
