Registro,Grupo,Semana,Ascensor,Inicia,Abre,Llega,Entraron,Salieron,Partida,Llegada,Espera,Viaje,Total,Servicio,Persona
2025-04-20 10:50:13,Grupo 2,3,T1-C,11:00:05,11:01:30,11:03:16,7,4,1,9,85,106,191,Regular,Estudiante
2025-04-21 10:44:04,Grupo 5,5,T1-C,10:41:05,10:41:20,10:41:45,1,3,8,1,15,25,40,Bueno,Estudiante
2025-04-21 11:00:58,Grupo 5,5,T1-A,10:56:34,10:58:42,11:00:02,8,3,1,8,128,80,208,Malo,Estudiante
2025-04-21 12:05:17,Grupo 2,5,T1-C,11:57:57,11:59:07,11:59:54,6,6,8,1,70,47,117,Bueno,Estudiante
2025-04-21 13:52:16,Grupo 2,5,T2-D,13:45:53,13:46:36,13:47:21,4,3,2,8,43,45,88,Bueno,Estudiante
2025-04-21 14:02:50,Grupo 1,5,T1-B,13:59:45,14:02:01,14:02:25,3,1,6,8,136,24,160,Bueno,Estudiante
2025-04-21 14:25:50,Grupo 5,5,T1-D,12:11:00,12:12:00,12:12:50,2,1,1,8,60,50,110,Bueno,Estudiante
2025-04-21 18:10:48,Grupo 5,5,T1-A,18:09:30,18:10:15,18:10:37,1,1,10,6,45,22,67,Bueno,Estudiante
2025-04-22 23:48:01,Grupo 6,5,T2-C,15:25:39,15:25:49,15:26:09,1,1,3,1,10,20,30,Bueno,Estudiante
2025-04-22 23:53:13,Grupo 6,5,T2-D,15:35:12,15:35:16,15:35:46,3,1,1,3,4,30,34,Bueno,Estudiante
2025-04-23 09:27:46,Grupo 1,5,T1-D,09:24:59,09:25:25,09:26:12,4,NA,1,9,26,47,73,Bueno,Estudiante
2025-04-23 10:48:05,Grupo 1,5,T1-B,10:46:52,10:47:05,10:47:48,NA,1,9,1,13,43,56,Bueno,Estudiante
2025-04-23 10:56:37,Grupo 2,5,T1-A,10:52:02,10:52:16,10:52:35,1,NA,11,8,14,19,33,Regular,Estudiante
2025-04-23 12:35:59,Grupo 5,5,T1-B,12:31:37,12:32:11,12:32:48,1,2,9,1,34,37,71,Bueno,Estudiante
2025-04-23 23:33:14,Grupo 6,5,T1-D,20:00:59,20:01:34,20:02:21,5,8,6,1,35,47,82,Bueno,Estudiante
2025-04-23 23:38:24,Grupo 6,5,T2-A,08:37:00,08:41:00,08:44:00,2,1,1,6,240,180,420,Bueno,Estudiante
2025-04-23 23:50:22,Grupo 6,5,T1-D,14:41:17,14:41:25,14:41:40,2,2,6,1,8,15,23,Bueno,Estudiante
2025-04-24 08:02:31,Grupo 5,5,T1-D,07:56:58,07:57:10,07:57:34,4,2,1,4,12,24,36,Bueno,Estudiante
2025-04-24 08:56:32,Grupo 2,5,T1-D,08:51:53,08:54:56,08:56:08,9,6,1,9,183,72,255,Regular,Estudiante
2025-04-24 13:18:17,Grupo 4,5,T2-B,13:16:22,13:16:50,13:16:50,2,2,6,10,28,0,28,Bueno,Estudiante
2025-04-24 14:53:35,Grupo 2,5,T1-A,14:48:18,14:49:44,14:50:20,NA,NA,2,11,86,36,122,Bueno,Estudiante
2025-04-24 17:41:23,Grupo 2,5,T2-C,14:36:18,14:36:24,14:36:56,1,1,10,1,6,32,38,Bueno,Estudiante
2025-04-24 20:06:39,Grupo 1,5,T1-A,20:05:17,20:05:47,20:06:16,2,7,6,1,30,29,59,Bueno,Estudiante
2025-04-24 22:36:34,Grupo 9,5,T2-A,13:05:42,13:05:42,13:06:42,2,2,2,8,0,60,60,Bueno,Estudiante
2025-04-24 22:38:30,Grupo 9,5,T2-D,14:27:20,14:27:49,14:28:22,NA,3,10,1,29,33,62,Bueno,Estudiante
2025-04-25 08:54:03,Grupo 5,5,T1-D,08:50:19,08:50:56,08:51:33,11,4,1,4,37,37,74,Regular,Estudiante
2025-04-25 10:41:58,Grupo 9,5,T1-A,08:03:25,08:03:37,08:04:17,2,2,1,6,12,40,52,Bueno,Estudiante
