Edad,Sexo,CantidadCursos,HorasSuenio,ActividadFisica,FrecBebida,UnidadBebida,HorasEjercicio,CanDesayuno,Carrera,Estres,CicloAcademico,CalidadSuenio,GrupoEncuesta
19,Masculino,7,6,Deportes colectivos,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Medio,2,Mala,8
20,Masculino,5,7,Actividad aeróbica,0,1,5,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena,8
20,Masculino,6,7,Actividad aeróbica,0,0,4,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,5
19,Masculino,5,7,Actividad aeróbica,0,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena,8
20,Masculino,6,6,Mixta,0,0,2,Bastante,Ciencias de la Salud,Alto,7,Regular,5
18,Femenino,8,6,Actividad aeróbica,0,0,4,Regular,Ciencias Sociales y Derecho,Medio,3,Mala,5
17,Masculino,6,6,Actividad aeróbica,1,0,1,Regular,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,8
18,Masculino,6,7,Deportes colectivos,3,1,6,Poca,"Ingeniería, Tecnología y Construcción",Alto,2,Mala,5
18,Femenino,5,6,No realiza actividad física,6,1,2,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,3,Regular,8
18,Femenino,5,5,Mixta,3,1,5,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Muy mala,8
18,Masculino,6,5,Actividad aeróbica,1,0,2,Mucha,Ciencias Sociales y Derecho,Muy alto,3,Regular,5
18,Femenino,7,6,No realiza actividad física,0,0,1,Bastante,Ciencias Sociales y Derecho,Bajo,3,Regular,5
20,Masculino,6,6,Actividad aeróbica,3,2,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,5
18,Masculino,6,9,Actividad aeróbica,0,1,2,Regular,Ciencias de la Salud,Bajo,1,Regular,5
25,Masculino,6,5,Deportes colectivos,1,0,3,Poca,Ciencias de la Salud,Alto,3,Muy mala,5
19,Femenino,6,6,No realiza actividad física,0,0,1,Bastante,Ciencias Sociales y Derecho,Bajo,5,Mala,5
18,Masculino,6,6,Mixta,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Mala,5
19,Femenino,5,6,Actividad aeróbica,0,0,5,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,8
20,Masculino,5,6,No realiza actividad física,0,0,2,Ninguna,"Ingeniería, Tecnología y Construcción",Medio,3,Mala,5
18,Femenino,8,6,Actividad aeróbica,2,2,2,Bastante,Ciencias Sociales y Derecho,Alto,3,Muy mala,5
18,Masculino,6,6,No realiza actividad física,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,5
25,Masculino,5,6,Mixta,0,0,2.5,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,8,Mala,9
18,Femenino,6,6,Actividad aeróbica,0,0,3,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Buena,9
19,Femenino,6,5,Actividad aeróbica,3,1,6,Bastante,"Administración, Negocios y Contabilidad",Medio,3,Mala,5
25,Masculino,6,5,Mixta,0,0,4,Regular,"Ingeniería, Tecnología y Construcción",Alto,7,Regular,9
22,Femenino,7,5,Actividad aeróbica,0,0,1,Poca,Ciencias de la Salud,Alto,3,Muy mala,5
24,Masculino,6,6,Deportes colectivos,1,1,3,Poca,"Ingeniería, Tecnología y Construcción",Medio,7,Mala,9
19,Femenino,5,6,Mixta,0,0,8,Bastante,Ciencias Exactas y Ambientales,Alto,1,Regular,9
19,Femenino,3,7,No realiza actividad física,0,0,1,Bastante,"Humanidades, Artes y Educación",Muy alto,5,Regular,5
18,Femenino,5,NA,No realiza actividad física,0,0,1.5,Regular,Ciencias Sociales y Derecho,Medio,3,Muy mala,5
18,Femenino,7,7,No realiza actividad física,0,0,1,Ninguna,"Humanidades, Artes y Educación",Alto,3,Mala,5
25,Femenino,7,8,No realiza actividad física,0,0,1,Bastante,Ciencias de la Salud,Muy alto,3,Muy buena,5
18,Masculino,6,6,Deportes colectivos,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Bajo,1,Buena,9
19,Masculino,5,7,Mixta,2,1,7,Poca,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,5
19,Femenino,6,7,Actividad aeróbica,0,0,1,Bastante,"Humanidades, Artes y Educación",Medio,1,Buena,5
