Edad,Pais,CantidadCursos,HorasSuenio,ActividadFisica,FrecBebida,UnidadBebida,HorasEjercicio,CanDesayuno,Carrera,Estres,CicloAcademico,CalidadSuenio
19,Masculino,7,6,Deportes colectivos,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Medio,2,Mala
20,Masculino,5,7,Actividad aeróbica,0,1,5,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena
19,Masculino,5,7,Actividad aeróbica,0,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena
17,Masculino,6,6,Actividad aeróbica,1,0,1,Regular,"Ingeniería, Tecnología y Construcción",Medio,3,Regular
18,Femenino,5,6,No realiza actividad física,6,1,2,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,3,Regular
18,Femenino,5,5,Mixta,3,1,5,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Muy mala
19,Femenino,5,6,Actividad aeróbica,0,0,5,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Regular
20,Femenino,6,8,Mixta,0,0,2,Mucha,"Administración, Negocios y Contabilidad",Alto,3,Regular
17,Masculino,6,8,Deportes colectivos,0,0,10,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular
17,Masculino,6,6,Actividad aeróbica,2,1,4,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular
19,Masculino,5,8,Deportes colectivos,1,1,5,Bastante,"Ingeniería, Tecnología y Construcción",Nulo,3,Regular
19,Masculino,4,5,Mixta,7,2,1,Bastante,"Administración, Negocios y Contabilidad",Alto,5,Regular
20,Femenino,6,8,No realiza actividad física,0,0,1,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,5,Muy mala
19,Masculino,4,9,No realiza actividad física,7,2,6,Poca,"Ingeniería, Tecnología y Construcción",Nulo,5,Muy mala
19,Masculino,5,6,Deportes colectivos,0,0,4,Ninguna,Ciencias Exactas y Ambientales,Bajo,5,Regular
19,Femenino,6,6,Mixta,1,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Mala
19,Masculino,5,6,Actividad aeróbica,0,0,8,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,5,Mala
19,Femenino,6,7,Actividad aeróbica,0,0,1,Bastante,Ciencias de la Salud,Muy alto,2,Regular
19,Masculino,6,7,Mixta,0,0,4,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Regular
21,Masculino,5,5,Mixta,0,0,11,Bastante,Ciencias de la Salud,Alto,6,Mala
19,Femenino,5,6,Actividad aeróbica,0,0,4,Ninguna,"Administración, Negocios y Contabilidad",Alto,5,Regular
19,Femenino,7,3,Mixta,4,1,6,Regular,"Administración, Negocios y Contabilidad",Muy alto,5,Muy mala
19,Femenino,5,5,Mixta,0,0,NA,Bastante,Ciencias de la Salud,Muy alto,5,Mala
20,Femenino,5,5,Deportes colectivos,1,1,3,Poca,"Ingeniería, Tecnología y Construcción",Medio,7,Muy mala
20,Masculino,5,7,No realiza actividad física,2,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
17,Masculino,6,6,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,1,Mala
20,Femenino,6,7,Deportes colectivos,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Alto,6,Regular
19,Masculino,6,6,Actividad aeróbica,0,0,4,Poca,Ciencias de la Salud,Bajo,5,Buena
20,Masculino,7,7.5,Actividad aeróbica,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,7,Regular
18,Femenino,5,5,No realiza actividad física,2,1,2,Bastante,"Humanidades, Artes y Educación",Muy alto,3,Mala
20,Femenino,7,5,Mixta,0,0,5,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,7,Mala
17,Masculino,6,6,Deportes colectivos,2,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,1,Regular
21,Masculino,5,5,Deportes colectivos,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Nulo,4,Regular
19,Femenino,3,5,Actividad aeróbica,0,0,3.5,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Mala
18,Masculino,6,6,Actividad aeróbica,0,0,1,Poca,"Ingeniería, Tecnología y Construcción",Bajo,3,Mala
18,Femenino,6,7,No realiza actividad física,1,0,1,Regular,"Ingeniería, Tecnología y Construcción",Nulo,3,Mala
18,Femenino,5,7,No realiza actividad física,0,0,6.5,Bastante,"Ingeniería, Tecnología y Construcción",Medio,2,Regular
17,Masculino,6,6,Actividad aeróbica,4,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Nulo,1,Regular
19,Femenino,6,6,Deportes colectivos,0,0,2,Poca,Ciencias Sociales y Derecho,Alto,5,Mala
18,Masculino,6,7,Actividad aeróbica,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
17,Masculino,6,5,Actividad aeróbica,0,0,2.5,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,1,Mala
18,Masculino,3,7,Deportes colectivos,0,0,9,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Regular
19,Femenino,7,6,Mixta,0,0,4,Bastante,Ciencias de la Salud,Alto,1,Regular
19,Masculino,5,7,Actividad aeróbica,2,1,1,Bastante,Ciencias de la Salud,Muy alto,5,Regular
19,Masculino,6,6.43,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
19,Masculino,6,5,Actividad aeróbica,2,0,4,Mucha,Ciencias de la Salud,Bajo,5,Regular
19,Femenino,4,6,Actividad aeróbica,0,0,3,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,5,Regular
20,Masculino,6,8,Deportes colectivos,2,1,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,6,Regular
20,Masculino,6,4,Deportes colectivos,3,2,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,6,Buena
18,Masculino,5,6,Mixta,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
19,Femenino,5,6,Actividad aeróbica,1,1,3,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Mala
18,Masculino,5,5,Deportes colectivos,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,5,Mala
19,Femenino,4,5,Actividad aeróbica,0,0,4,Ninguna,"Administración, Negocios y Contabilidad",Alto,5,Mala
18,Femenino,3,4,No realiza actividad física,1,1,1,Poca,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
23,Masculino,4,7,Deportes colectivos,2,1,3,Bastante,Ciencias Sociales y Derecho,Alto,10,Regular
23,Masculino,6,6,Mixta,0,0,6,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,6,Mala
18,Masculino,6,6,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
20,Femenino,5,11,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Alto,4,Muy buena
18,Masculino,5,6,Actividad aeróbica,1,1,2,Ninguna,"Ingeniería, Tecnología y Construcción",Medio,5,Mala
18,Masculino,5,6,Actividad aeróbica,0,0,10.5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
18,Femenino,5,6,Actividad aeróbica,0,0,4.5,Mucha,"Administración, Negocios y Contabilidad",Alto,3,Regular
18,Femenino,6,6,Mixta,0,0,3.5,Bastante,"Administración, Negocios y Contabilidad",Muy alto,3,Regular
