"Marca temporal","¿Qué grupo te envió la encuesta?","1. Sexo","2. ¿Cuál es tu peso actual (kg)? ","3. ¿Cuál es tu estatura en metros? ","4. Edad en años cumplidos","5. Carrera universitaria","6. Ciclo académico","7. ¿En cuántos cursos te encuentras matriculado actualmente?","8. Considerando los últimos 7 días, ¿Cuántas horas en total a la semana dedicaste a realizar actividad física (deporte, gimnasio, caminatas intensas, etc.)?","9. ¿Cuántas horas al día en promedio dedico al estudio (de lunes a viernes) sin contar las horas de clases?","10. ¿Cuál de las siguientes opciones describe mejor tu alimentación actual?","11. ¿Cuántas comidas principales (ej. desayuno, almuerzo, cena) consumes habitualmente en un día?","12. ¿Cuántas veces a la semana consumes comidas rápidas con alto contenido calórico y grasas (pizzas, hamburguesas, papas fritas, pollo frito, hot dogs, tacos)?","13. ¿Cuántos días a la semana preparas tu propia comida en casa para traerla a la universidad? (donde 0 = ningún día, 6= de lunes a sábado)","14. ¿Cuántos días a la semana realizas actividad física? (0 = ningún día , 7 = todos los días (de lunes a domingo)","15. ¿Cómo calificarías tu nivel de actividad física semanal?","16. ¿Cómo calificarías la calidad de tu sueño en general?  ","17. ¿Cuántas horas duermes en promedio por noche?  Considerar desde el momento que se recuestan y dejan de usar los dispositivos móviles hasta que se despiertan.","18. ¿Cuántas veces al mes consumes alcohol?  ( 0 = ninguna vez, 1, 2, 3, … ) ","19. ¿Qué cantidad de desayuno consumes habitualmente?","20. ¿Cuántos días a la semana consumes bebidas energéticas? (0 = ningún día de la semana, 1, 2, …, 7)","21. Cuando consumes bebidas energéticas, ¿cuántas unidades tomas por día?","22. ¿Cómo calificarías tu nivel de consumo de café o bebidas energizantes para estudiar?","23. ¿Cuál es tu percepción del nivel de estrés?","24. ¿Cuántos litros de agua pura en promedio consumes al día? Ejemplo 1.5","25. ¿Qué actividades consideras te ayudan a disminuir el nivel de estrés?","26. ¿Cuál es el motivo principal por el que realizas actividad física?","27. Qué tipo de actividad física realizas con mayor frecuencia durante el ciclo académico 2026-I?","28. ¿Cómo percibes tu estado de salud general?  ","29. ¿Padeces alguna enfermedad crónica (diabetes, asma, etc.)?  ","30. ¿Aproximadamente cuántos soles gastas en promedio al mes en productos que consideras saludables?","31. ¿Con qué frecuencia se siente con energía para realizar sus actividades diarias?","32. ¿Considera que sus hábitos de alimentación influyen en su estado de salud?","33. ¿Considera que dormir pocas horas afecta su bienestar físico y mental?","34. ¿Con qué frecuencia se siente emocionalmente bien?"
"2026/04/22 7:49:15 p. m. GMT-5","8","Masculino","60","1.60","19","Ingeniería, Tecnología y Construcción.","2","7","8","2","Omnívora: Consume alimentos de origen animal y vegetal.","4","3","4","2","Bajo","Mala","6","0","3","0","0","4","2","1.5","Dormir más horas que lo habitual","Recreación y socialización con amigos.","Deportes colectivos (futbol, basket, vóley).","Regular","No","20","Rara vez","Bastante","Regular","Rara vez"
"2026/04/22 7:53:56 p. m. GMT-5","8","Masculino","65","1.72","20","Ingeniería, Tecnología y Construcción.","5","5","5","13","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","2","5","Alto","Buena","7","2","3","0","1","0","2","3","Realizar actividad física","Recreación y socialización con amigos.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","10","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 7:56:26 p. m. GMT-5","5","Masculino","68","1.64","20","Ingeniería, Tecnología y Construcción.","3","6","4","4","Omnívora: Consume alimentos de origen animal y vegetal.","4","1","4","4","Regular","Regular","7","0","3","0","0","0","3","3","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","100","A veces","Regular","Regular","Frecuentemente"
"2026/04/22 7:59:53 p. m. GMT-5","8","Masculino","62","1.75","19","Ingeniería, Tecnología y Construcción.","5","5","1","2","Omnívora: Consume alimentos de origen animal y vegetal.","4","3","2","2","Bajo","Buena","7","2","3","0","1","3","2","1","Jugar videojuegos","Recreación y socialización con amigos.","Aeróbica (correr, nadar, bicicleta).","Regular","Sí","0","A veces","Poco","Bastante","Frecuentemente"
"2026/04/22 8:17:54 p. m. GMT-5","5","Masculino","60","1.62","20","Ciencias de la Salud.","7","6","2","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","0","1","Alto","Regular","6","4","3","0","0","0","3","1.5","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Mixta.","Buena","No","10","Rara vez","Regular","Bastante","A veces"
"2026/04/22 8:20:32 p. m. GMT-5","5","Femenino","65","1.58","18","Ciencias Sociales y Derecho.","3","8","4","7.5","Omnívora: Consume alimentos de origen animal y vegetal.","2","2","1","4","Regular","Mala","6","0","2","0","0","0","2","1","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","Aeróbica (correr, nadar, bicicleta).","Regular","No","10","A veces","Bastante","Bastante","A veces"
"2026/04/22 8:23:06 p. m. GMT-5","8","Masculino","54","1.64","17","Ingeniería, Tecnología y Construcción.","3","6","1","6","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","3","5","3","0","Bajo","Regular","6","0","2","1","0","1","2","1","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","20","Rara vez","Regular","Bastante","A veces"
"2026/04/22 8:23:21 p. m. GMT-5","5","Masculino","65","1.82","18","Ingeniería, Tecnología y Construcción.","2","6","6","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","5","0","4","Regular","Mala"," 7","6","1","3","1","2","3"," 2","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Regular","No","20","A veces","Poco","Bastante","Frecuentemente"
"2026/04/22 8:25:12 p. m. GMT-5","8","Femenino","49","1.53","18","Ingeniería, Tecnología y Construcción.","3","5","2","6","Omnívora: Consume alimentos de origen animal y vegetal.","2","3","0","3","Regular","Regular","6","0","4","6","1","3","4","1","Otros motivos","Recreación y socialización con amigos.","No realizo actividad física.","Mala","No","0","Nunca","Bastante","Bastante","Rara vez"
"2026/04/22 8:25:12 p. m. GMT-5","8","Femenino","49","1.58","18","Ingeniería, Tecnología y Construcción.","3","5","5","15","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","4","3","1","5","Regular","Muy mala","5","1","1","3","1","3","2","2","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Mixta.","Regular","No","100","Nunca","Bastante","Poco","Frecuentemente"
