Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
peruano,macho,783.8807025056196,28.800646819755386,19.930417704530907,blanco,sano,17.19680807263281
peruano,macho,867.9658471447837,26.529515226305215,21.755745644558896,blanco,sano,31.459759407727276
híbrido,macho,902.7044957503572,20.87989785528106,18.375000861750316,pintado,gordo,31.385672029748548
andino,macho,734.736461929103,NA,18.207716516613317,marrón,sano,56.612555526010894
peruano,hembra,749.0646302867019,28.62216614155971,NA,pintado,NA,31.20911352943325
americano,hembra,774.2305987699765,25.286618821799493,NA,blanco,NA,52.50857848420565
peruano,hembra,666.9466547938982,24.96906185116392,18.834887971355524,blanco,sano,64.37411612606067
peruano,macho,895.2161075959157,30.85954819451648,NA,blanco,NA,19.02292040248285
abisinio,macho,558.5472540288623,23.17986538801902,NA,negro,NA,30.717694815418284
andino,macho,929.6853329839468,29.111534128008756,17.080411824586275,tricolor,gordo,51.64773866623412
andino,macho,722.2132605164209,23.17483236707529,NA,blanco,NA,58.857441826801725
andino,macho,849.0733038499467,NA,17.34173106814337,rojizo,gordo,40.40325083647802
americano,hembra,825.5311157903867,24.57475932572482,18.98861968286517,negro,sano,14.003153097806898
abisinio,macho,563.947198161189,21.175322072732005,16.922528789486513,pintado,sano,29.00737108308458
peruano,hembra,917.2028435230028,29.670069974625537,18.193581048333147,blanco,gordo,22.081916964167647
andino,macho,NA,23.957333058068908,18.36032459191736,blanco,NA,31.277475706339388
peruano,macho,638.41140419291,25.496165864579325,19.81467548818119,negro,sano,40.699765383334466
peruano,macho,840.2183219856323,29.269539013516077,19.14387679058304,negro,sano,29.537891420648407
peruano,macho,773.5274540131539,27.257215860827436,21.06567349165973,blanco,sano,65.63076282180825
peruano,hembra,619.796123883924,NA,NA,marrón,NA,39.85635811471095
peruano,macho,789.6606269053618,24.143486782089113,NA,marrón,NA,35.4392022952217
peruano,macho,923.4347056242405,27.761338308104012,19.968520701201797,pintado,sano,23.19113334971324
peruano,hembra,733.5378380389122,26.91896531755317,17.85642595629579,blanco,sano,55.46966961244067
peruano,hembra,550.1015759674628,27.037502207640973,16.78244005650025,blanco,sano,41.13934812225089
peruano,hembra,809.10757078708,27.992848281306397,17.560933311778207,marrón,gordo,17.214859929027433
híbrido,hembra,939.8592421578222,36.00611283502478,NA,pintado,NA,41.86264878646249
peruano,hembra,NA,30.209737596267622,17.546631999570938,pintado,NA,32.068074142501544
abisinio,macho,602.3491769294872,24.42892000248002,NA,gris,NA,28.531169726341744
peruano,hembra,868.2794008143145,25.78888163044246,18.767378404557387,pintado,sano,49.34557540539028
andino,hembra,NA,23.242515416544,16.44694436630826,tricolor,NA,45.963310048603425
peruano,macho,820.822211804879,NA,18.46604907237817,pintado,sano,50.2593021492676
peruano,hembra,737.3741775345221,32.22891276826975,18.66868849607265,pintado,sano,29.536857049439902
andino,macho,1073.562355536527,32.91532394611942,18.604689532042077,rojizo,gordo,46.600327732257405
andino,macho,844.1642436877399,NA,19.54982295654504,negro,sano,38.953855989036974
peruano,hembra,638.8823294867722,23.488495065802027,16.62311406902184,pintado,sano,10.470563950483143
híbrido,macho,594.643024414159,31.071712484564777,NA,tricolor,NA,35.835608157770565
peruano,macho,NA,30.93395686293041,19.57913720278873,marrón,NA,27.874152035964556
peruano,hembra,NA,24.585924000580523,17.779116181244284,blanco,NA,35.18461136373018
peruano,macho,723.0122584713273,NA,19.260312122934685,blanco,sano,41.10789228325447
andino,hembra,598.3454539672008,21.544992161429334,15.761535921810133,negro,sano,18.905718625624417
andino,hembra,614.3360810698001,22.9012550794837,16.075147946632008,marrón,sano,19.89980093266798
peruano,hembra,683.6372050195134,22.21148157798524,18.425669115784125,blanco,sano,48.029850401017384
peruano,hembra,734.6675199747823,26.085604988285343,NA,negro,NA,27.79935946515244
híbrido,hembra,963.6422777566196,33.00543514610307,NA,tricolor,NA,22.663812022793557
peruano,hembra,NA,22.41940694121826,18.10627011379687,pintado,NA,39.885723616198305
andino,macho,792.6683643140332,23.25980490358319,19.56233743264114,blanco,sano,33.07066642568085
peruano,macho,765.4989819700146,NA,NA,blanco,NA,29.93719309381193
peruano,macho,748.0513943802306,27.211029537115422,NA,blanco,NA,25.303777383798952
peruano,macho,920.0393320211998,31.61752164547117,19.506064188263085,blanco,sano,41.86169155603048
peruano,macho,NA,25.910137371053665,19.491583473791817,blanco,NA,51.01094924049637
abisinio,macho,584.4253676607714,NA,NA,negro,NA,46.867513204757735
peruano,hembra,584.8825372802664,26.419345676607502,NA,negro,NA,24.99850814897445
peruano,hembra,834.2358377350834,25.148059347223533,NA,negro,NA,13.156820063580684
peruano,macho,688.266502954834,23.632939918417257,19.42368680959469,blanco,sano,21.775202037278547
peruano,macho,800.9673766705766,25.802036386039173,NA,negro,NA,17.381999006058415
peruano,hembra,549.0039084575303,18.603965928352693,NA,blanco,NA,47.71791177848568
andino,macho,733.7949398452046,25.571063078756293,19.553035266474986,rojizo,sano,51.13775651985259
peruano,macho,910.4173429611157,NA,18.35798461005032,blanco,gordo,54.2583597696221
peruano,hembra,971.098040012837,26.141037499039513,NA,blanco,NA,37.23884540618083
híbrido,hembra,639.5921735980721,20.966607755332884,NA,marrón,NA,12.518483518457924
andino,macho,905.70726463141375,NA,16.375977624876565,negro,gordo,65.61337414568595
andino,macho,623.7823887753823,25.804380333761916,NA,negro,NA,19.170983595742577
peruano,macho,899.8203604857463,29.60996930252446,19.513730401522576,blanco,sano,37.17575622021921
peruano,macho,856.6212533902296,NA,NA,marrón,NA,26.961772023189855
abisinio,macho,694.9929374278922,21.45783843385103,16.6112494155693,gris,sano,25.684237411597454
híbrido,hembra,797.4029094579079,23.73552749391879,NA,tricolor,NA,62.001788005457584
peruano,macho,698.4502032359276,28.783402609954713,18.811504755291452,pintado,sano,61.38534362448134
peruano,hembra,674.6247661444281,28.25370845454462,NA,negro,NA,12.187253765428633
peruano,hembra,811.9118735943097,NA,NA,negro,NA,15.687883634625724
peruano,hembra,831.6943012575535,22.330114415861228,18.25351745732188,blanco,sano,16.29782273370689
americano,hembra,907.1027197352428,27.411081315950067,21.26415144115412,marrón,sano,35.795722335814325
andino,macho,821.74855571981,22.614218284154877,17.11336525600347,rojizo,gordo,42.156594821771975
peruano,macho,NA,23.391075043213178,19.158280499585747,negro,NA,47.25873109598103
andino,macho,824.1014851366498,25.600516272939213,NA,marrón,NA,34.62326352862792
peruano,macho,751.4334214464898,NA,NA,negro,NA,48.28039695383117
andino,hembra,NA,NA,16.693479020865933,blanco,NA,15.692793593398427
peruano,hembra,704.2661864275427,29.375692843415187,NA,negro,NA,11.564807312466764
peruano,macho,861.4564785733506,24.10829461310739,20.38899264733563,pintado,sano,21.83053596760421
peruano,macho,841.2139016768442,29.029929793905644,18.449715814470533,pintado,sano,16.43952419235763
andino,macho,NA,27.09247482400687,NA,rojizo,NA,46.181497513161645
andino,macho,891.2768347313986,27.006073860277997,NA,marrón,NA,12.050756895360074
abisinio,macho,696.9073635898704,NA,15.11377330423974,negro,gordo,30.42453865473632
andino,hembra,747.1968663367597,24.460630102536037,15.382141981151346,blanco,gordo,20.515446106331208
híbrido,hembra,914.5714880049968,NA,15.160521513127073,tricolor,obeso,39.58018465443757
americano,macho,1119.71658291774,NA,20.137303922443863,negro,gordo,38.54622051995514
híbrido,hembra,1082.5996424949058,36.78374670288869,NA,blanco,NA,19.56439292273852
peruano,hembra,715.2648900675963,29.15248382951618,18.56270525625635,blanco,sano,41.988232607621946
peruano,macho,804.4033710488463,27.4687344190824,19.434004011850973,negro,sano,32.67212235302375
peruano,hembra,662.6159523342238,24.416521177171184,16.38418604477688,marrón,sano,55.10715241709739
peruano,macho,NA,28.250686243827168,NA,pintado,NA,47.07910352534616
peruano,macho,806.0481152718547,26.128062330467984,NA,blanco,NA,29.53695151626728
peruano,macho,633.0651261534788,NA,19.043877358337703,negro,sano,41.75179889751758
peruano,hembra,NA,21.31203350803889,19.432097012603528,marrón,NA,32.67389497961623
peruano,hembra,590.1274822009652,26.889675306297537,NA,blanco,NA,27.57784390634846
andino,hembra,607.8511777970134,25.878128512595385,15.721688014132855,blanco,sano,10.275229750793772
peruano,macho,625.7432098763363,NA,NA,marrón,NA,59.70547155355694
peruano,hembra,683.964053215446,26.51202894149124,NA,negro,NA,31.57928247953172
peruano,macho,997.9490504917254,25.979164116192248,NA,marrón,NA,60.13991145547859
andino,macho,794.147665668811,23.591815469021764,16.160926480340915,negro,gordo,16.486734874119485
peruano,macho,NA,28.207946054028675,NA,marrón,NA,49.40879518025576
peruano,macho,NA,31.584391600627647,19.69467536976089,marrón,NA,30.47924965604492
andino,hembra,644.1171504950338,19.304472802693677,17.80509104753325,tricolor,sano,60.10413149870657
